Year,Year ending,Local Government Area,Charge Status,Incidents Recorded
2019,September,Hindmarsh,Charges laid,112
2019,September,Hindmarsh,No charges laid,56
2019,September,Hindmarsh,Unsolved,79
2019,September,Hobsons Bay,Charges laid,"2,031"
2019,September,Hobsons Bay,No charges laid,743
2019,September,Hobsons Bay,Unsolved,"2,220"
2019,September,Horsham,Charges laid,797
2019,September,Horsham,No charges laid,291
2019,September,Horsham,Unsolved,292
2019,September,Hume,Charges laid,"6,455"
2019,September,Hume,No charges laid,"2,412"
2019,September,Hume,Unsolved,"6,841"
2019,September,Indigo,Charges laid,169
2019,September,Indigo,No charges laid,52
2019,September,Indigo,Unsolved,196
2019,September,Kingston,Charges laid,"3,339"
2019,September,Kingston,No charges laid,"1,329"
2019,September,Kingston,Unsolved,"4,215"
2019,September,Knox,Charges laid,"3,268"
2019,September,Knox,No charges laid,"1,161"
2019,September,Knox,Unsolved,"3,991"
2019,September,Latrobe,Charges laid,"5,296"
2019,September,Latrobe,No charges laid,"1,541"
2019,September,Latrobe,Unsolved,"3,203"
2019,September,Loddon,Charges laid,157
2019,September,Loddon,No charges laid,42
2019,September,Loddon,Unsolved,172
2019,September,Macedon Ranges,Charges laid,722
2019,September,Macedon Ranges,No charges laid,225
2019,September,Macedon Ranges,Unsolved,817
2019,September,Manningham,Charges laid,"1,125"
2019,September,Manningham,No charges laid,459
2019,September,Manningham,Unsolved,"2,107"
2019,September,Mansfield,Charges laid,140
2019,September,Mansfield,No charges laid,67
2019,September,Mansfield,Unsolved,130
2019,September,Maribyrnong,Charges laid,"2,466"
2019,September,Maribyrnong,No charges laid,702
2019,September,Maribyrnong,Unsolved,"3,557"
2019,September,Maroondah,Charges laid,"2,713"
2019,September,Maroondah,No charges laid,941
2019,September,Maroondah,Unsolved,"2,549"
2019,September,Melbourne,Charges laid,"10,114"
2019,September,Melbourne,No charges laid,"5,110"
2019,September,Melbourne,Unsolved,"11,570"
2019,September,Melton,Charges laid,"3,438"
2019,September,Melton,No charges laid,967
2019,September,Melton,Unsolved,"4,159"
2019,September,Mildura,Charges laid,"2,910"
2019,September,Mildura,No charges laid,970
2019,September,Mildura,Unsolved,"1,750"
2019,September,Mitchell,Charges laid,"1,505"
2019,September,Mitchell,No charges laid,610
2019,September,Mitchell,Unsolved,998
2019,September,Moira,Charges laid,957
2019,September,Moira,No charges laid,237
2019,September,Moira,Unsolved,722
2019,September,Monash,Charges laid,"2,740"
2019,September,Monash,No charges laid,"1,145"
2019,September,Monash,Unsolved,"4,801"
2019,September,Moonee Valley,Charges laid,"2,108"
2019,September,Moonee Valley,No charges laid,930
2019,September,Moonee Valley,Unsolved,"3,313"
2019,September,Moorabool,Charges laid,655
2019,September,Moorabool,No charges laid,189
2019,September,Moorabool,Unsolved,754
2019,September,Moreland,Charges laid,"3,525"
2019,September,Moreland,No charges laid,"1,393"
2019,September,Moreland,Unsolved,"5,836"
2019,September,Mornington Peninsula,Charges laid,"3,335"
2019,September,Mornington Peninsula,No charges laid,"1,411"
2019,September,Mornington Peninsula,Unsolved,"3,758"
2019,September,Mount Alexander,Charges laid,389
2019,September,Mount Alexander,No charges laid,146
2019,September,Mount Alexander,Unsolved,350
2019,September,Moyne,Charges laid,256
2019,September,Moyne,No charges laid,96
2019,September,Moyne,Unsolved,175
2019,September,Murrindindi,Charges laid,233
2019,September,Murrindindi,No charges laid,157
2019,September,Murrindindi,Unsolved,211
2019,September,Nillumbik,Charges laid,586
2019,September,Nillumbik,No charges laid,288
2019,September,Nillumbik,Unsolved,822
2019,September,Northern Grampians,Charges laid,377
2019,September,Northern Grampians,No charges laid,173
2019,September,Northern Grampians,Unsolved,233
2019,September,Port Phillip,Charges laid,"3,193"
2019,September,Port Phillip,No charges laid,"1,324"
2019,September,Port Phillip,Unsolved,"5,166"
2019,September,Pyrenees,Charges laid,140
2019,September,Pyrenees,No charges laid,85
2019,September,Pyrenees,Unsolved,166
2019,September,Queenscliffe,Charges laid,25
