Year,Year ending,Police Region,Local Government Area,Incidents Recorded,"Rate per 100,000 population"
2016,September,1 North West Metro, Darebin,"12,986","8,371.3"
2016,September,1 North West Metro, Hobsons Bay,"5,485","5,869.8"
2016,September,1 North West Metro, Hume,"17,038","8,229.3"
2016,September,1 North West Metro, Maribyrnong,"7,327","8,427.5"
2016,September,1 North West Metro, Melbourne,"27,308","18,691.8"
2016,September,1 North West Metro, Melton,"9,123","6,451.0"
2016,September,1 North West Metro, Moonee Valley,"7,658","6,232.6"
2016,September,1 North West Metro, Moreland,"12,160","7,057.7"
2016,September,1 North West Metro, Nillumbik,"2,153","3,354.9"
2016,September,1 North West Metro, Whittlesea,"12,568","6,069.8"
2016,September,1 North West Metro, Wyndham,"12,568","5,536.4"
2016,September,1 North West Metro, Yarra,"11,131","11,982.5"
2016,September,1 North West Metro,Total,"160,150","7,819.8"
2016,September,2 Eastern, Alpine,277,"2,202.3"
2016,September,2 Eastern, Bass Coast,"2,029","6,063.2"
2016,September,2 Eastern, Baw Baw,"2,891","5,864.6"
2016,September,2 Eastern, Benalla,989,"7,073.4"
2016,September,2 Eastern, Boroondara,"6,781","3,825.1"
2016,September,2 Eastern, East Gippsland,"3,185","6,984.6"
2016,September,2 Eastern, Greater Shepparton,"6,143","9,440.3"
2016,September,2 Eastern, Indigo,344,"2,128.1"
2016,September,2 Eastern, Knox,"8,528","5,318.3"
2016,September,2 Eastern, Latrobe,"10,096","13,529.5"
2016,September,2 Eastern, Manningham,"3,760","3,067.6"
2016,September,2 Eastern, Mansfield,466,"5,372.4"
2016,September,2 Eastern, Maroondah,"6,475","5,640.2"
2016,September,2 Eastern, Mitchell,"3,108","7,436.3"
2016,September,2 Eastern, Moira,"1,235","4,188.4"
2016,September,2 Eastern, Monash,"8,704","4,518.6"
2016,September,2 Eastern, Murrindindi,551,"3,921.2"
2016,September,2 Eastern, South Gippsland,"1,042","3,578.1"
2016,September,2 Eastern, Strathbogie,462,"4,460.8"
2016,September,2 Eastern, Towong,190,"3,142.6"
2016,September,2 Eastern, Wangaratta,"1,764","6,169.6"
2016,September,2 Eastern, Wellington,"3,213","7,381.1"
2016,September,2 Eastern, Whitehorse,"5,899","3,477.3"
2016,September,2 Eastern, Wodonga,"2,501","6,236.9"
2016,September,2 Eastern, Yarra Ranges,"6,308","4,063.8"
2016,September,2 Eastern,Total,"86,941","5,253.2"
2016,September,3 Southern Metro, Bayside,"4,259","4,138.5"
2016,September,3 Southern Metro, Cardinia,"5,333","5,465.7"
2016,September,3 Southern Metro, Casey,"17,342","5,544.3"
2016,September,3 Southern Metro, Frankston,"11,928","8,550.4"
2016,September,3 Southern Metro, Glen Eira,"5,578","3,754.1"
2016,September,3 Southern Metro, Greater Dandenong,"15,108","9,429.4"
2016,September,3 Southern Metro, Kingston,"8,471","5,329.7"
2016,September,3 Southern Metro, Mornington Peninsula,"8,989","5,565.0"
2016,September,3 Southern Metro, Port Phillip,"10,350","9,528.0"
2016,September,3 Southern Metro, Stonnington,"8,979","8,089.0"
2016,September,3 Southern Metro,Total,"96,337","6,415.3"
2016,September,4 Western, Ararat,872,"7,424.4"
2016,September,4 Western, Ballarat,"9,207","8,895.7"
2016,September,4 Western, Buloke,170,"2,705.3"
2016,September,4 Western, Campaspe,"2,765","7,354.7"
2016,September,4 Western, Central Goldfields,979,"7,480.7"
2016,September,4 Western, Colac-Otway,"1,313","6,146.4"
2016,September,4 Western, Corangamite,633,"3,897.1"
2016,September,4 Western, Gannawarra,468,"4,428.9"
2016,September,4 Western, Glenelg,"1,346","6,812.1"
2016,September,4 Western, Golden Plains,639,"2,902.4"
2016,September,4 Western, Greater Bendigo,"7,354","6,550.5"
2016,September,4 Western, Greater Geelong,"19,072","7,962.3"
2016,September,4 Western, Hepburn,676,"4,354.3"
2016,September,4 Western, Hindmarsh,224,"3,872.8"
2016,September,4 Western, Horsham,"1,824","9,173.2"
2016,September,4 Western, Loddon,378,"5,001.3"
2016,September,4 Western, Macedon Ranges,"1,599","3,367.7"
2016,September,4 Western, Mildura,"5,023","9,189.9"
2016,September,4 Western, Moorabool,"1,890","5,784.8"
2016,September,4 Western, Mount Alexander,961,"5,032.2"
2016,September,4 Western, Moyne,449,"2,682.7"
2016,September,4 Western, Northern Grampians,919,"7,943.0"
2016,September,4 Western, Pyrenees,400,"5,467.5"
2016,September,4 Western, Queenscliffe,160,"5,462.6"
2016,September,4 Western, Southern Grampians,960,"5,954.2"
2016,September,4 Western, Surf Coast,"1,172","3,847.0"
2016,September,4 Western, Swan Hill,"1,666","7,972.8"
2016,September,4 Western, Warrnambool,"2,395","6,994.3"
2016,September,4 Western, West Wimmera,111,"2,819.4"
2016,September,4 Western, Yarriambiack,336,"4,982.9"
2016,September,4 Western,Total,"65,961","6,817.2"
2016,September,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,930,
2016,September,Justice Institutions and Immigration Facilities,Total,930,
2016,September,Unincorporated Vic, Unincorporated Vic,115,
2016,September,Unincorporated Vic,Total,115,
2015,September,1 North West Metro, Banyule,"7,035","5,579.4"
2015,September,1 North West Metro, Brimbank,"14,714","7,325.5"
2015,September,1 North West Metro, Darebin,"11,033","7,259.8"
2015,September,1 North West Metro, Hobsons Bay,"5,296","5,777.0"
2015,September,1 North West Metro, Hume,"14,350","7,241.0"
2015,September,1 North West Metro, Maribyrnong,"6,641","7,832.9"
2015,September,1 North West Metro, Melbourne,"24,675","18,027.8"
2015,September,1 North West Metro, Melton,"7,964","5,903.0"
2015,September,1 North West Metro, Moonee Valley,"6,790","5,647.5"
2015,September,1 North West Metro, Moreland,"10,823","6,447.3"
2015,September,1 North West Metro, Nillumbik,"1,854","2,911.7"
2015,September,1 North West Metro, Whittlesea,"10,114","5,138.0"
2015,September,1 North West Metro, Wyndham,"10,866","5,082.0"
2015,September,1 North West Metro, Yarra,"9,784","10,880.4"
2015,September,1 North West Metro,Total,"141,939","7,177.0"
2015,September,2 Eastern, Alpine,345,"2,775.8"
2015,September,2 Eastern, Bass Coast,"1,889","5,798.7"
2015,September,2 Eastern, Baw Baw,"2,396","5,008.7"
2015,September,2 Eastern, Benalla,734,"5,271.9"
2015,September,2 Eastern, Boroondara,"5,655","3,236.0"
2015,September,2 Eastern, East Gippsland,"3,073","6,849.0"
2015,September,2 Eastern, Greater Shepparton,"5,523","8,564.3"
2015,September,2 Eastern, Indigo,348,"2,185.7"
2015,September,2 Eastern, Knox,"7,224","4,552.0"
2015,September,2 Eastern, Latrobe,"8,777","11,818.3"
2015,September,2 Eastern, Manningham,"3,301","2,733.0"
2015,September,2 Eastern, Mansfield,320,"3,751.5"
2015,September,2 Eastern, Maroondah,"5,884","5,206.0"
2015,September,2 Eastern, Mitchell,"2,493","6,191.6"
2015,September,2 Eastern, Moira,"1,105","3,772.9"
2015,September,2 Eastern, Monash,"7,186","3,798.6"
2015,September,2 Eastern, Murrindindi,500,"3,610.6"
2015,September,2 Eastern, South Gippsland,925,"3,213.9"
2015,September,2 Eastern, Strathbogie,321,"3,154.8"
